NO,ABSTRAK,,,,,
11,"Pengenalan karakter merupakan pengenalan pola yang berbentuk karakter seperti huruf dan angka. Permasalahan yang muncul dalam melakukan proses pengenalan karakter pada tulisan adalah bagaimana sebuah metode pengenalan dapat mengenali berbagai karakter pada tulisan.Citra tulisan yang telah disimpan sebagai citra yang diolah agar dapat mengenali karakter huruf dan angka yang ada dalam citra tulisan. Penelitian ini, bertujuan untuk mengimplementasikan metode Learning Vector Quantization pada pengenalan teks multi line. proses yang dilakukan dalam mengenali teks multi line ada beberapa tahap, yaitu preprocessing, pelatihan dan pengenalan menggunakan metode Learning Vector Quantization. Tahap preprocessing dimulai dari binerisasi, penghapusan noise, segmentasi menggunakan Profile Projection, dan normalisasi. Tahap preprocessing dilakukan agar memudahkan pelatihan citra tulisan, hasil setelah dilakukan tahap preprocessing adalah citra tiap karakter pada citra tulisan. Tahap selanjutnya adalah tahap pelatihan dan pengenalan. Pada tahap ini, metode Learning Vector Quantization digunakan untuk mengelompokkan karakter berdasarkan kelas masing-masing sehingga diperoleh bobot akhir. Untuk pengenalan karakter, data uji dihitung jarak minimum terhadap bobot akhir menggunakan Euclidean Distance dan data uji tiap karakter dimasukkan ke dalam masing-masing kelas berdasarkan jarak minimum tersebut. Percobaan yang dilakukan pada pengenalan karakter menggunakan metode Learning Vector Quantization mampu mengenali citra yang berisi citra yang belum dilatih dengan rata-rata 55.11%.",,,,,
12,"Pengenalan ekspresi wajah merupakan bagian dari face recognition. Kemampuan komputer untuk melakukan pengenalan ekspresi wajah mendapat perhatian yang cukup besar dalam penelitian computer vision karena penerapannya yang cukup tinggi. Banyak peneliti membuat sistem komputer yang dapat mengerti dan berkomunikasi dengan manusia melalui citra ekspresi wajah. Pengenalan ekspresi wajah adalah sistem untuk mengenali ekspresi wajah manusia. Sistem akan mencocokkan ekpresi wajah dengan basisdata yang telah ditentukan atau disiapkan sebelumnya. Terdapat beberapa tahapan dalam pengenalan ekspresi wajah yaitu tahap preprocessing, ekstraksi fitur, dan klasifikasi. Pada penelitian ini diusulkan metode Linear Discriminant Analysis (LDA) yang mempunyai kemampuan untuk ektraksi fitur sehingga bisa mereduksi dimensi. Selain itu, LDA juga mempunyai kinerja cukup mengesankan untuk tugas klasifikasi citra. Pada penelitian dilakukan beberapa skenario percobaan untuk mengetahui tingkat akurasi LDA. Untuk pengukuran kemiripan menggunakan Naive Bayes. Akurasi tertinggi yang didapatkan mencapai 58,06%",,,,,
13,"Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Dengan hal yang seperti ini pada CBIR meskipun ada yang memodifikasi atau merubah nama filenya, tidaklah membuat image searching menjadi rancu karena hal ini tidak didasarkan atas teks atau nama dari sebuah file melainkan berdasarkan ciri baik warna, bentuk maupun tekstur. Dalam penelitian Tugas Akhir ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra yang berbeda yaitu: bangunan, bus, dinosaurus, gajah, gunung, kuda, mawar, dan pantai sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gabor Filter. Sehingga dari hasil ekstraksi fitur dilakukan pengukuran kemiripan dengan feature vector citra yang sudah diekstraksi terlebih dahulu yang tersimpan dalam database dengan menggunakan metode Euclidean Distance. Citra query dan citra database yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=0,02 diperoleh akurasi rata-rata presisi sebesar 0.46 pada data pelatihan 190 dan data uji coba 10 dengan ukuran kernel 3x3 dan jumlah citra yang ditampilkan sebanyak 15 citra termirip dengan citra query dan pengenalan terbaik pada kelas bangunan yaitu dengan akurasi presisi 60% .",,,,,
14,"Sidik jari adalah salah satu karakteristik fisik manusia yang saat ini banyak digunakan untuk identifikasi manusia, karena sidik jari mempunyai karakteristik yang tidak dapat berubah kecuali jika luka atau rusak akibat kecelakaan. Sidik jari sangat diperlukan untuk berbagai kasus tindak kriminal, seperti pencurian, kecurangan administrasi. Sehingga adanya proses pendeteksian sidik jari dapat memudahkan pihak-pihak yang berwajib untuk menangani beberapa kasus tersebut. Proses pendeteksian ini di lakukan dalam program komputer dengan melakukan beberapa tahap perhitungan. Penentuan titik tengah atau yang biasa di kenal dengan Corepoint adalah sebuah proses awal yang sangat berperan penting dalam proses identifikasi manusia. Terdapat dua cara untuk menentukan Corepoint atau titik tengah sidik jari yaitu secara manual dan otomatis. Secara manual dapat di lakukan dengan kasat mata. sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada Tugas Akhir ini untuk menentukan Corepoint sidik jari secara otomatis digunakan metode Geometry Of Region Technique (GR).Citra yang digunakan pada Tugas Akhir diperoleh dari �database FVC-2002 fingerprint-bitmaps�. Hasil uji coba sistem yang terbaik untuk deteksi Corepoint sidik jari menggunakan metode Geometry Of Region Technique (GR) dengan M0=50 dan V0=50 pada proses normalisasi dan menggunakan ukuran blok 3 x 3 pixel. Hasil akurasi sistem yang didapatkan sebesar 70%.�",,,,,
15,"Dalam perancangan Enterprise Resource Planning (ERP), dibutuhkan perencanaan terorganisir, dikarenakan ERP ditujukan untuk mengintegrasikan seluruh proses yang ada dalam berbagai domain fungsional perusahaan, antar departemen, maupun antar lokasi yang berbeda. Penelitian ini bertujuan merancang sebuah desain aplikasi untuk mendapatkan blueprint aplikasi pada modul Inventory Managemnt (IM).Zachman Framework(ZF) merupakan salah satu kerangka kerja yang dapat memetakan artifak arsitektur informasi di sebuah organisasi. Dalam penerapanya, ZF mampu mendeskripsikan level prespektif arsitektur IT(Planner Perspective, Owner Perspective, Designer Perspective, Builder Perspective, Implementer Perspective, Participant Perspective) sesuai abstraksi objek (What, How, Where, Who, When, Why).Untuk standarisasi artifak arsitektur informasi digunakan pendekatan standart pemodelan UML 2.0, sehingga mampu meningkatkan deskripsi ZF menjadi standart Model Driven Architecture.Untuk pengujian hasil desain perancangan telah dikembangkan perangkat lunak ERP IM yang menerapkan Model Driven Design yang mampu mengkonversi artifak model menjadi aplikasi yang berkualitas. Dimana dari hasil penilaian Stakeholder dari pengujian sistem di PT. IGLAS(Persero), didapatkan tingkat kepuasan rata-rata 90%. Sedangkan untuk penilaian availability sistem secara kuantitatif dengan dibandingkan Openerp 7.0 sistem yang dikembangkan jauh lebih kompleks dengan ketersediaan fitur 88,8% berbanding dengan Openerp 7.0 yang hanya memiliki keterbatasan fitur 77,7%.",,,,,
16,"Unsur estetika dalam berpakaian terkadang menjadi salah satu permasalahan tersendiri bagi sebagian besar orang. Termasuk salah satunya permasalahan menentukan ukuran pakaian agar terlihat sesuai dengan ukuran tubuhnya. Dahulu untuk mendapatkan ukuran pakaian yang sesuai harus dilakukan secara manual menggunakan alat bantu berupa meteran, dengan pemanfaatan teknologi ini dapat menentukan ukuran pakaian yang sesuai dengan mudah. Penelitian ini terdiri dari dua tahap yaitu proses segmentasi citra dan pengklasifikasi sesuai ukuran pakaian dengan menggunakan Metode Na�ve Bayes. Pada proses segmentasi terdiri dari beberapa langkah, yaitu mengubah citra RGB menjadi Grayscale, dari citra Grayscale ke Biner dengan tresholding menggunakan Otsu, dan dihitung tinggi dan lebar objek, kemudian proses klasifikasi menggunakan metode Na�ve Bayes. Metode Na�ve Bayes ini digunakan untuk proses pengklasifikasian ukuran pakaian berdasarkan hasil ukur objek. Sehingga pada hasil akhir dapat diketahui hasil ukuran yang sesuai. Citra didapat dari 2 cara yaitu, dari webcam/ kamera secara realtime dan file berformat .bmp. Berdasarkan uji coba proses segmentasi konversi dari citra grayscale ke biner dengan menggunakan tresholding otsu lebih memudahkan dalam memisahkan antara objek dengan latar belakang berdasarkan nilai ambang yang telah ditentukan. Setelah didapatkan ukuran objek maka diklasifikasikan dengan menggunakan metode Na�ve Bayes. Dengan demikian, penelitian ini dapat dikembangkan lagi dengan metode pembelajaran lainya. ",,,,,
17,"Pengenalan tulisan tangan merupakan topik penelitian yang sangat populer saat ini. Para peneliti telah banyak melakukan usaha-usaha untuk membuat sistem pengenalan tulisan tangan otomatis dengan berbagai teknik yang berbeda. Penelitian ini membahas pengembangan sistem pengenalan tulisan tangan offline yang menggunakan pencirian lokal dari karakter-karakter tulisan tangan. Salah satu faktor penentu dalam pengenalan tulisan tangan adalah model atau bentuk tulisan tangan dari penulis yang mampu dikenali. Tiap penulis pasti memiliki gaya menulis atau bentuk tulisan tangan yang berbeda. Metode yang digunakan untuk pengenalan pola tulisan tangan pada penelitian ini adalah Modified Direction Feature (MDF) untuk proses ekstraksi fitur dan Learning Vector Quantization (LVQ) untuk proses klasifikasi. Proses ekstraksi fitur pada metode MDF dilakukan dengan cara penentuan arah garis dan posisi dari tiap-tiap piksel. Sedangkan untuk proses pelatihan data menggunakan metode Learning Vector Quantization (LVQ), metode ini akan menghasilkan bobot yang akan digunakan untuk proses pengenalan citra huruf tulisan tangan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan diperoleh dengan jumlah data pelatihan sebanyak 260 citra dan data uji coba sebanyak 52 citra. Hasil akurasi sistem yang didapatkan sebesar 71,15 %.",,,,,
18,"Sosialisasi UU nomor 22 tahun 2009 merupakan hal yang penting, namun kompleksitas dan banyaknya aturan yang terkandung membuat masyarakat kesulitan dalam memahaminya. Berbagai sosialisasi dan kampanye safety riding telah dilakukan, namun masih banyaknya penyimpangan yang dilakukan para pengguna jalan mengindikasikan akan diperlukannya suatu alternatif media yang tepat dan akurat sebagai sarana untuk sosialisasi. Konsep sistem pencarian berbasis information retrieval (IR), dapat digunakan untuk proses sosialisasi melalui media internet. Pembangunan IR pada penelitian ini menggunakan konsep vector space model (VSM). VSM merupakan proses penghitungan kemiripan antar pasal yang direpresentasikan dalam suatu model ruang vektor. Selanjutnya dibentuk hirarki pada pasal-pasal hasil dari proses retrieve-nya. Berdasarkan hasil pengujian sistem, didapatkan nilai minimal cosine similarity terbaik dengan treshold 0,1. Dengan presentase rata-rata precision 58,6 %, presentase rata-rata recall nya mencapai 92,4 % dan rata-rata presentase f-measure nya 65,5 %. Hasil dari pengujian efektifitas sistem pada masyarakat, dapat dikatakan bahwa aplikasi ini sangat membantu dan memiliki penerimaan yang baik disisi pengguna, dengan presentase sangat baik 20 % , baik 72 %, cukup baik 24,7 % dan buruk 3,4 %.",,,,,
19,"Kesesuaian penempatan merupakan hal yang sangat penting dalam penyediaan tenaga pendidik suatu instansi sekolah. Penempatan tenaga pendidik yang tepat pada jabatan/posisi yang tepat akan membentuk kepuasan secara psikologis kepada tenaga pendidik, akhirnya akan melahirkan motivasi dan kreatifitas kerja yang tinggi. Penelitian ini membahas tentang sistem yang dapat menganalisa kesesuaian penempatan Pegawai Negeri Sipil(PNS) Tenaga Pendidik berbasis Geographic Information System (GIS), sehingga penempatan PNS tenaga pendidik dapat dianalisa kesesuaian penempatannya serta dipetakan menurut instansi sekolah masing-masing guna mengetahui jarak antara instansi dengan alamat rumah PNS. Sistem ini dibangun menggunakan google map untuk pemetaanya dan metode Na�ve Bayes untuk menganalisa kesesuaian penempatan PNS tenaga pendidik, yang memprediksi probabilitas di masa depan berdasarkan pengalaman dimasa sebelumnya. Atribut yang digunakan adalah Jenis Kelamin, Golongan, Tingkat Pendidikan, Jarak Rumah. Output dari sistem ini berupa analisa kesesuaian penempatan PNS. Untuk menghitung keakurasian menggunakan 150 data dengan ujicoba sebanyak 3 kali. Dari ujicoba tersebut menghasilkan akurasi tertinggi 93% dengan data training sebnyak 120 dan data ujicoba 40. Hasil dari penelitian ini adalah metode Na�ve Bayes dapat diaplikasikan untuk menentukan status kesesuaian penempatan PNS tenaga pendidik. Dengan dibuatnya aplikasi analisa ini data pegawai negeri sipil tenaga pendidik dapat dipetakan menurut instansi sekolah masing-masing untuk kemudian dapat di analisa efektifitas penempatannya dengan metode Na�ve Bayes.",,,,,
20,"Teknologi pendeteksian obyek menggunakan kamera telah semakin banyak digunakan antara lain untuk sistem pendeteksian organ biometric seperti wajah, mata, hidung, tangan dan lain-lain. Selain pada organ biometric, pendeteksian obyek juga banyak dilakukan pada obyek-obyek yang lain seperti obyek mobil dan sepeda motor. Deteksi obyek banyak dimanfaatkan pada bidang security dan authorization. Dalam Tugas Akhir ini hanya akan difokuskan pada masalah pendeteksian obyek wajah, deteksi wajah (face detection) adalah salah satu pra proses yang sangat penting didalam sistem pengenalan wajah(face recoginiton) untuk mengetahui letak posisi wajah dalam sebuah citra yang nantinya akan dilakukan untuk proses pengenalan (recognition), sistem pendeteksian wajah ini diimplementasi pada handphone nokia lumia 920 dengan sistem operasi windows phone. Metode yang digunakan dalam penelitian ini adalah Haar Cascade Classifier dengan mengacu pada Haar Rectangular Feature (fitur kotak haar) yang merupakan fitur hasil ekstraksi dari penelition viola jones, dalam penelitian ini terdapat 12876 citra yang digunakan untuk training yang terdiri dari 4916 citra wajah dan 7960 citra non wajah, kemudian terdapat 45 citra yang digunakan untuk testing yang terdir i dari 15 citra yang mengandung single face, 15 citra yang terdapat multiple face dan 15 citra yang tidak terdapat wajah sama sekali.",,,,,
21,"Penjiplakan merupakan masalah yang sering muncul dan semakin berkembang terutama dalam bidang pendidikan. Banyak karya tulis yang sebagian bahkan seluruh isinya dibuat dengan menjiplak dari karya tulis orang lain. Untuk mengatasi masalah tersebut, salah satunya solusinya adalah dengan dibuatnya aplikasi yang dapat mengelompokan dokumen dan mendeteksi penjiplakan pada dokumen tersebut. Pada tugas akhir ini dibuat aplikasi yang dapat mendeteksi penjiplakan antar dokumen yaitu dengan membandingkan antar dokumen. Dalam melakukan pendeteksian penjiplakan dokumen digunakan algoritma Winnowing. Algoritma winnowing ini berfungsi untuk melakukan proses dokumen fingerprint, yaitu dengan merubah teks menjadi sekumpulan nilai - nilai hash. Nilai hash ini yang akan digunakan untuk mendeteksi tingkat kesamaan antar dokumen. Dalam hal pengelompokan dokumen dipergunakan algoritma fuzzy k-means. Dari hasil uji coba aplikasi ini dapat diambil kesimpulan bahwa semakin besar nilai n-gram, basis, dan window maka semakin kecil hasil prosentase kemiripan antar dokumen yaitu dengan menghasilkan sebesar 4.17%, dan sebaliknya semakin kecil nilai n-gram, basis, dan window maka semakin besar prosentase kemiripan antar dokumen yaitu dengan menghasilkan prosentase 98.49%. Pada perhitungan nilai f-measure dipengaruhi oleh keakuratan data yang diproses.",,,,,
